registration_code,school_short_name,school_full_name,school_old_name,district,education_office,post_adress,longitude,latitude,places_amount,pupils,staf,students_per_teacher
23888637,Ліцей №57 ім. Короля Данила,Ліцей №57 імені Короля Данила Львівської міської ради,Львівська спеціалізована школа І-ІІІ ступенів №57 імені Короля Данила з поглибленим вивченням англійської мови,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79019, м. Львів, вул. Жовківська, 6",24.03340413,49.85346288,490.0,453,66.03,6.860517946388005
20834397,Ліцей №66,Ліцей №66 Львівської міської ради,Спеціалізована середня загальноосвітня школа І-ІІІ ступенів №66 з поглибленим вивченням англійської мови та інформаційних технологій,Франківський,Відділ освіти Галицького та Франківського районів,"79060, м. Львів, вул. Наукова, 92",23.99014074,49.80618223,1200.0,1031,136.22,7.568638966377918
22350195,Ліцей №75 ім. Лесі Українки,Ліцей №75 імені Лесі Українки Львівської міської ради,Середня загальноосвітня школа №75 імені Лесі Українки,Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79000, м. Львів, вул. В. Караджича, 7",23.97071153,49.82356595,987.0,925,124.0,7.459677419354839
23887112,Ліцей №8,Ліцей №8 Львівської міської ради,Львівська спеціалізована загальноосвітня школа №8 з поглибленим вивченням німецької мови,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79008, м. Львів, вул. Підвальна, 2",24.03556453,49.84240321,374.0,592,88.02,6.725744149057033
22336367,Ліцей №80,Ліцей №80 Львівської міської ради,"Навчально-виховний комплекс «Школа-садок ""Софія""»",Сихівський,Відділ освіти Сихівського та Личаківського районів,"79034, м. Львів, вул. Героїв Крут, 27",24.04361265,49.81414977,716.0,673,142.35,4.727783631893221
23888666,Ліцей №81 ім. Петра Сагайдачного,Ліцей №81 імені Петра Сагайдачного Львівської міської ради,Львівська спеціалізована середня загальноосвітня школа №81 ім. П. Сагайдачного з поглибленим вивченням англійської мови,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79068, м. Львів, вул. Гетьмана І. Мазепи, 1а",24.02602589,49.87181601,1174.0,1062,141.11,7.526043512153638
22337332,Ліцей №93,Ліцей №93 Львівської міської ради,Середня спеціалізована загальноосвітня школа №93 з поглибленим вивченням англійської мови,Сихівський,Відділ освіти Сихівського та Личаківського районів,"79066, м. Львів, вул. А. Кос-Анатольського, 10",24.06429146,49.7888911,1300.0,1572,173.39,9.06626679739316
26205165,Ліцей №94,Ліцей №94 Львівської міської ради,Навчально-виховний комплекс «Школа-садок №94»,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79069, м. Львів, вул. Брюховицька, 99",23.95837169,49.87241365,825.0,514,117.76,4.364809782608695
20834428,Ліцей ім. В. Симоненка,Ліцей ім. В. Симоненка Львівської міської ради,Львівський навчально-виховний комплекс ім. В. Симоненка з поглибленим вивченням німецької мови,Франківський,Відділ освіти Галицького та Франківського районів,"79071, м. Львів, вул. В.Симоненка, 6",23.98604835,49.80913449,1547.0,1248,156.84,7.957153787299158
20834411,Ліцей ім. І. Пулюя,Ліцей ім. І. Пулюя,Середня загальноосвітня школа І-ІІІ ступенів №83 м. Львова,Франківський,Відділ освіти Галицького та Франківського районів,"79071, м. Львів, вул. І. Пулюя, 16",23.98295169,49.80314825,700.0,674,96.18,7.0076939072572255
20834405,Ліцей міжнародних відносин ім. В. Стуса,Ліцей міжнародних відносин ім. В. Стуса Львівської міської ради,Львівський навчально-виховний комплекс ім. В. Стуса «Спеціалізована школа І ступеня - гімназія міжнародних відносин»,Франківський,Відділ освіти Галицького та Франківського районів,"79057, м. Львів, вул. Повстанська, 14",24.00041429,49.82591737,900.0,938,127.14,7.377693880761365
20821733,Львівська академічна гімназія при Національному університеті «Львівська політехніка»,"Львівська академічна гімназія при Національному університеті ""Львівська політехніка""","Львівська академічна гімназія при Національному університеті ""Львівська політехніка""",Галицький,Відділ освіти Галицького та Франківського районів,"79013, м. Львів, вул. С. Бандери, 14",24.01267178,49.83486255,650.0,720,105.81,6.8046498440601075
22350344,Львівська гімназія «Євшан»,"Львівська гімназія ""Євшан""","Львівська гімназія ""Євшан""",Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79054, м. Львів, вул. Любінська, 93а",23.97557128,49.82044905,399.0,514,75.48,6.809750927397986
35664577,Львівська гімназія «Престиж» з поглибленим вивченням іноземних мов,"Львівська гімназія ""Престиж"" з поглибленим вивченням іноземних мов","Львівська гімназія ""Престиж"" з поглибленим вивченням іноземних мов",Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79007, м. Львів, вул. Ветеранів, 11",24.01808557,49.84998827,936.0,898,112.39,7.990034700596138
20834173,Львівська державна комунальна середня загальноосвітня школа №3,Львівська державна комунальна середня загальноосвітня школа №3,Львівська державна комунальна середня загальноосвітня школа №3,Галицький,Відділ освіти Галицького та Франківського районів,"79013, м. Львів, вул. С. Бандери, 11",24.0171612,49.8349472,400.0,574,75.44,7.608695652173913
23887359,Львівська загальноосвітня школа I-III ст. №82,Львівська загальноосвітня школа I-III ступенів №82 Львівської міської ради Львівської області,Львівська загальноосвітня школа І-ІІІ ступенів №82 Львівської міської ради,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79032, м. Львів, вул. П. Шафарика, 13",24.07270413,49.81779871,1000.0,1033,135.78,7.607895124466048
23888598,Львівська загальноосвітня школа І-ІІІ ст. №43,Львівська загальноосвітня школа І-ІІІ ступенів №43 Львівської міської ради Львівської області,Львівська загальноосвітня школа І-ІІІ ступенів №43,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79020, м. Львів, вул. Т. Масарика, 9",24.01345371,49.8603351,980.0,768,96.87,7.928151130380923
22350217,Львівська загальноосвітня школа І-ІІІ ст. №74,Львівська загальноосвітня школа І-ІІІ ступенів №74 Львівської міської ради Львівської області,Львівська середня загальноосвітня школа №74 Львівської міської ради,Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79493, м. Львів, смт Рудно, вул. І. Огієнка, 9",23.877066,49.836192,1077.0,875,105.67,8.280495883410618
34711678,Львівська лінгвістична гімназія,Львівська лінгвістична гімназія,Львівська лінгвістична гімназія,Галицький,Відділ освіти Галицького та Франківського районів,"79005, м. Львів, вул. Кирила і Мефодія, 17а",24.0311069,49.83232226,800.0,808,116.53,6.933836780228267
23888519,Львівська правнича гімназія,Львівська правнича гімназія,Львівська правнича гімназія,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79007, м. Львів, вул. М. Леонтовича, 2",24.01850199,49.84345448,600.0,559,82.64,6.764278799612779
23887253,Львівська середня загальноосвітня школа I-III ст. №7,Львівська середня загальноосвітня школа I-III №7 Львівської міської ради,Львівська середня загальноосвітня школа І-ІІІ ступенів №7 Львівської міської ради,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79024, м. Львів, вул. Б. Хмельницького, 132",24.04649536,49.85639665,630.0,619,77.31,8.006726167378089
